,Mínimo,Promedio,Máximo
CPU_Percent,10.7,27.740963855421683,100.0
Memory_Percent,59.2,66.77831325301204,78.4
GPU_Percent,3.0,4.548780487804878,11.0
GPU_Memory_Percent,48.4375,48.70029852642277,50.1953125
