,Mínimo,Promedio,Máximo
CPU_Percent,8.3,18.91774785801714,48.6
Memory_Percent,57.1,64.05556915544675,74.8
GPU_Percent,0.0,1.9644607843137254,10.0
GPU_Memory_Percent,48.81184895833333,49.605904373468135,50.79752604166666
